"filename", "language", "Java", "Markdown", "C++", "Python", "comment", "blank", "total"
"c:\Users\manio\Desktop\bloblyVM\include\tsl\robin_map.h", "C++", 0, 0, 401, 0, 306, 109, 816
"c:\Users\manio\Desktop\bloblyVM\include\tsl\robin_set.h", "C++", 0, 0, 302, 0, 280, 87, 669
"c:\Users\manio\Desktop\bloblyVM\main.bb", "Java", 8, 0, 0, 0, 0, 1, 9
"c:\Users\manio\Desktop\bloblyVM\src\bmemory.cpp", "C++", 0, 0, 228, 0, 40, 37, 305
"c:\Users\manio\Desktop\bloblyVM\src\common.cpp", "C++", 0, 0, 21, 0, 0, 5, 26
"c:\Users\manio\Desktop\bloblyVM\src\data\bfloat.cpp", "C++", 0, 0, 52, 0, 10, 9, 71
"c:\Users\manio\Desktop\bloblyVM\src\data\boolean.cpp", "C++", 0, 0, 36, 0, 10, 11, 57
"c:\Users\manio\Desktop\bloblyVM\src\data\bstring.cpp", "C++", 0, 0, 37, 0, 8, 9, 54
"c:\Users\manio\Desktop\bloblyVM\src\data\code.cpp", "C++", 0, 0, 34, 0, 11, 12, 57
"c:\Users\manio\Desktop\bloblyVM\src\data\data.cpp", "C++", 0, 0, 46, 0, 4, 3, 53
"c:\Users\manio\Desktop\bloblyVM\src\data\future.cpp", "C++", 0, 0, 31, 0, 9, 8, 48
"c:\Users\manio\Desktop\bloblyVM\src\data\integer.cpp", "C++", 0, 0, 72, 0, 10, 11, 93
"c:\Users\manio\Desktop\bloblyVM\src\data\iterator.cpp", "C++", 0, 0, 88, 0, 8, 17, 113
"c:\Users\manio\Desktop\bloblyVM\src\data\list.cpp", "C++", 0, 0, 124, 0, 7, 16, 147
"c:\Users\manio\Desktop\bloblyVM\src\data\struct.cpp", "C++", 0, 0, 62, 0, 0, 12, 74
"c:\Users\manio\Desktop\bloblyVM\src\data\vector.cpp", "C++", 0, 0, 398, 0, 4, 22, 424
"c:\Users\manio\Desktop\bloblyVM\src\interpreter\command.cpp", "C++", 0, 0, 59, 0, 0, 6, 65
"c:\Users\manio\Desktop\bloblyVM\test.cpp", "C++", 0, 0, 31, 0, 0, 6, 37
"c:\Users\manio\Desktop\bloblyVM\utils\optimizer.cpp", "C++", 0, 0, 98, 0, 64, 16, 178
"c:\Users\manio\Desktop\bloblyVM\utils\parser.cpp", "C++", 0, 0, 625, 0, 59, 25, 709
"c:\Users\manio\Desktop\bloblyVM\utils\stringtrim.cpp", "C++", 0, 0, 46, 0, 6, 9, 61
"Total", "-", 297, 630, 8246, 111, 2456, 1739, 13479
